"","x"
"599",959
"600",608
"601",609
"602",158
"603",159
"604",506
"605",507
"606",128
"607",129
"608",32
"609",33
"610",262
"611",263
"612",16
"613",17
"614",6
"615",7
"616",372
"617",373
"618",4
"619",5
"620",588
"621",589
"622",2
"623",3
"624",222
"625",223
"626",816
"627",817
"628",518
"629",519
"630",694
"631",695
"632",1090
"633",1091
"634",1190
"635",1191
"636",1282
"637",1283
"638",1024
"639",1025
"640",562
"641",563
"642",544
"643",545
"644",586
"645",587
"646",566
"647",567
"648",1118
"649",1119
"650",782
"651",783
"652",678
"653",679
"654",524
"655",525
"656",700
"657",701
"658",910
"659",911
"660",926
"661",927
"662",618
"663",619
"664",600
"665",601
"666",744
"667",745
"668",472
"669",473
"670",716
"671",717
"672",768
"673",769
"674",652
"675",653
"676",646
"677",647
"678",870
"679",871
"680",698
"681",699
"682",430
"683",431
"684",956
"685",957
"686",814
"687",815
"688",802
"689",803
"690",790
"691",791
"692",628
"693",629
"694",490
"695",491
"696",494
"697",495
"698",934
"699",935
"700",466
"701",467
"702",1012
"703",1013
"704",970
"705",971
"706",482
"707",483
"708",676
"709",677
"710",668
"711",669
"712",428
"713",429
"714",684
"715",685
"716",626
"717",627
"718",784
"719",785
"720",498
"721",499
"722",400
"723",401
"724",504
"725",505
"726",448
"727",449
"728",476
"729",477
"730",574
"731",575
"732",712
"733",713
"734",846
"735",847
"736",708
"737",709
"738",516
"739",517
"740",440
"741",441
"742",414
"743",415
"744",1296
"745",1297
"746",514
"747",515
"748",458
"749",459
"750",828
"751",829
"752",1014
"753",1015
"754",1002
"755",1003
"756",998
"757",999
"758",632
"759",633
"760",1302
"761",1303
"762",914
"763",915
"764",512
"765",513
"766",510
"767",511
"768",980
"769",981
"770",422
"771",423
"772",1114
"773",1115
"774",824
"775",825
"776",876
"777",877
"778",984
"779",985
"780",972
"781",973
"782",416
"783",417
"784",786
"785",787
"786",450
"787",451
"788",218
"789",219
"790",1232
"791",1233
"792",382
"793",383
"794",662
"795",663
"796",710
"797",711
"798",894
"799",895
"800",1042
"801",1043
"802",772
"803",773
"804",1204
"805",1205
"806",650
"807",651
"808",766
"809",767
"810",792
"811",793
"812",534
"813",535
"814",118
"815",119
"816",426
"817",427
"818",140
"819",141
"820",1300
"821",1301
"822",122
"823",123
"824",284
"825",285
"826",76
"827",77
"828",1074
"829",1075
"830",74
"831",75
"832",728
"833",729
"834",210
"835",211
"836",212
"837",213
"838",116
"839",117
"840",842
"841",843
"842",280
"843",281
"844",582
"845",583
"846",1152
"847",1153
"848",486
"849",487
"850",152
"851",153
"852",150
"853",151
"854",142
"855",143
"856",1194
"857",1195
"858",144
"859",145
"860",1048
"861",1049
"862",418
"863",419
"864",1200
"865",1201
"866",536
"867",537
"868",528
"869",529
"870",732
"871",733
"872",750
"873",751
"874",378
"875",379
"876",836
"877",837
"878",788
"879",789
"880",936
"881",937
"882",688
"883",689
"884",924
"885",925
"886",374
"887",375
"888",912
"889",913
"890",906
"891",907
"892",776
"893",777
"894",474
"895",475
"896",946
"897",947
"898",780
"899",781
"900",60
"901",61
"902",56
"903",57
"904",818
"905",819
"906",680
"907",681
"908",46
"909",47
"910",294
"911",295
"912",40
"913",41
"914",880
"915",881
"916",50
"917",51
"918",48
"919",49
"920",42
"921",43
"922",202
"923",203
"924",522
"925",523
"926",54
"927",55
"928",52
"929",53
"930",64
"931",65
"932",1212
"933",1213
"934",796
"935",797
"936",160
"937",161
"938",214
"939",215
"940",72
"941",73
"942",722
"943",723
"944",920
"945",921
"946",938
"947",939
"948",34
"949",35
"950",68
"951",69
"952",216
"953",217
"954",66
"955",67
"956",62
"957",63
"958",424
"959",425
"960",36
"961",37
"962",1260
"963",1261
"964",146
"965",147
"966",1008
"967",1009
"968",630
"969",631
"970",762
"971",763
"972",182
"973",183
"974",114
"975",115
"976",156
"977",157
"978",124
"979",125
"980",154
"981",155
"982",1046
"983",1047
"984",112
"985",113
"986",944
"987",945
"988",456
"989",457
"990",1062
"991",1063
"992",208
"993",209
"994",778
"995",779
"996",108
"997",109
"998",110
"999",111
"1000",106
"1001",107
"1002",542
"1003",543
"1004",120
"1005",121
"1006",82
"1007",83
"1008",480
"1009",481
"1010",78
"1011",79
"1012",80
"1013",81
"1014",308
"1015",309
"1016",90
"1017",91
"1018",98
"1019",99
"1020",720
"1021",721
"1022",238
"1023",239
"1024",812
"1025",813
"1026",640
"1027",641
"1028",352
"1029",353
"1030",84
"1031",85
"1032",86
"1033",87
"1034",354
"1035",355
"1036",1248
"1037",1249
"1038",88
"1039",89
"1040",496
"1041",497
"1042",898
"1043",899
"1044",992
"1045",993
"1046",104
"1047",105
"1048",634
"1049",635
"1050",196
"1051",197
"1052",806
"1053",807
"1054",1106
"1055",1107
"1056",298
"1057",299
"1058",170
"1059",171
"1060",176
"1061",177
"1062",178
"1063",179
"1064",180
"1065",181
"1066",58
"1067",59
"1068",172
"1069",173
"1070",1122
"1071",1123
"1072",192
"1073",193
"1074",194
"1075",195
"1076",198
"1077",199
"1078",200
"1079",201
"1080",590
"1081",591
"1082",184
"1083",185
"1084",380
"1085",381
"1086",242
"1087",243
"1088",1004
"1089",1005
"1090",1168
"1091",1169
"1092",460
"1093",461
"1094",206
"1095",207
"1096",100
"1097",101
"1098",44
"1099",45
"1100",344
"1101",345
"1102",38
"1103",39
"1104",376
"1105",377
"1106",96
"1107",97
"1108",92
"1109",93
"1110",682
"1111",683
"1112",102
"1113",103
"1114",204
"1115",205
"1116",886
"1117",887
"1118",820
"1119",821
"1120",190
"1121",191
"1122",616
"1123",617
"1124",168
"1125",169
"1126",166
"1127",167
"1128",188
"1129",189
